linkedin_connections,last_school_ranking,education_level,study_abroad,last_company_size_10k+,last_company_size_1k - 5k,last_company_size_51 - 200,last_company_size_11 - 50,last_company_size_2 - 10,main_industry_Finance,main_industry_Tech,main_industry_Strategy,main_role_biz_ops,main_role_ds_research,main_role_founder_investor,main_role_Software Engineer,how_many_time_founder,worked_with_startups,friction_index,worked_abroad,month_of_experience,companies_switched,promotions_rate,current_tenure,stickiness_index,additional_certifications,is_italy,is_EU,direct_message,social_channels,refferals,macro_field_expertise_Business,macro_field_expertise_Computer Science,macro_field_expertise_Engineering,founder_type_Business Founder,founder_type_Technical Founder,female,age_bracket_26-30,age_bracket_31-35,age_bracket_>=36,self_def_enrolled_student,self_defined_phd,self_def_recent_graduate,target_dropout
1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4.7,1,60,3,0.60,7,1.29,2,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
1,1,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3.2,0,60,3,0.40,13,0.93,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10.2,1,123,5,0.20,14,0.98,13,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,1,3,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4.7,1,60,4,0.40,12,0.40,6,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.15,1,16,3,0.00,7,0.44,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1.15,0,5,6,0.00,16,3.80,14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3.2,1,75,7,0.16,16,0.34,8,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,1,32,5,0.38,18,0.84,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.6,1,25,3,0.96,7,3.92,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3.2,0,52,5,0.00,4,0.33,8,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.15,0,33,2,0.00,8,0.76,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.15,1,15,1,0.00,15,1.00,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2.35,1,96,7,0.25,45,0.94,20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,2,4,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,3.4,1,139,7,0.00,7,0.30,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.8,0,78,8,0.00,7,0.27,11,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1.6,1,60,4,0.00,12,0.28,4,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1.6,1,50,4,0.24,8,0.39,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1
1,1,2,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,8,1,48,6,0.25,8,0.44,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,13.6,1,132,6,0.09,57,0.65,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,13.6,1,132,7,0.09,48,0.55,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,3.4,1,195,5,0.06,75,0.58,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
1,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,1,60,4,0.20,53,1.33,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,10.2,0,108,6,0.22,13,0.31,3,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,11.75,1,87,6,0.00,9,0.28,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,4.8,1,76,6,0.32,5,1.08,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,1,31,2,0.00,29,0.94,4,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
1,1,2,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,10.2,1,108,10,0.33,41,0.86,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17,1,171,10,0.14,19,0.37,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,11.75,0,144,6,0.17,21,0.58,5,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6,1,60,2,0.20,17,0.43,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,11.75,1,72,10,0.00,8,0.18,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.15,1,20,2,0.00,13,0.65,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,48,4,0.25,20,0.63,12,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8,1,40,2,0.60,36,1.80,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9.4,1,72,5,0.50,18,0.73,10,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0
1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,9.4,1,96,4,0.50,37,1.53,25,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,0,4,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,10.2,0,132,6,0.27,20,0.76,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,1,2.35,1,89,4,0.00,25,0.28,2,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6.8,0,120,3,0.10,64,0.80,6,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.35,1,79,4,0.30,24,1.24,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.6,1,53,6,0.00,19,0.36,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.4,1,57,7,0.21,5,0.53,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,7.05,0,99,5,0.48,25,1.15,4,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.15,0,13,0,0.00,13,1.00,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1,1,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,11.75,1,72,6,0.50,12,1.32,7,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,11.75,1,99,12,0.12,18,0.27,23,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1.6,0,56,3,0.43,17,0.61,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4.7,0,50,4,0.24,16,0.48,9,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,13.6,1,132,5,0.09,60,0.68,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
