last_school_ranking,main_role_biz_ops,how_many_time_founder,friction_index,worked_abroad,month_of_experience,promotions_rate,current_tenure,stickiness_index,additional_certifications,direct_message,macro_field_expertise_Engineering,female,self_def_recent_graduate,target_dropout
1,1,1,4.7,1,60,0.60,7,1.29,2,0,0,0,0,0
1,1,0,3.2,0,60,0.40,13,0.93,2,0,0,0,0,0
1,1,0,10.2,1,123,0.20,14,0.98,13,0,0,0,0,1
1,0,1,4.7,1,60,0.40,12,0.40,6,0,0,0,0,0
0,0,0,1.15,1,16,0.00,7,0.44,4,0,0,0,0,0
0,0,1,1.15,0,5,0.00,16,3.80,14,0,0,0,0,1
1,1,0,3.2,1,75,0.16,16,0.34,8,0,0,1,0,0
1,0,0,1.6,1,32,0.38,18,0.84,6,0,0,0,0,0
1,0,0,4.6,1,25,0.96,7,3.92,0,0,0,1,0,0
0,0,1,3.2,0,52,0.00,4,0.33,8,0,0,1,0,1
0,0,0,1.15,0,33,0.00,8,0.76,0,0,0,0,1,0
0,0,0,1.15,1,15,0.00,15,1.00,4,0,0,0,0,0
0,1,0,2.35,1,96,0.25,45,0.94,20,0,0,0,0,1
2,0,4,3.4,1,139,0.00,7,0.30,0,0,0,1,0,1
0,0,0,4.8,0,78,0.00,7,0.27,11,0,0,0,0,0
1,0,1,1.6,1,60,0.00,12,0.28,4,0,1,0,1,0
0,0,2,1.6,1,50,0.24,8,0.39,0,0,1,0,0,1
1,1,2,8,1,48,0.25,8,0.44,0,0,0,0,0,0
1,0,1,13.6,1,132,0.09,57,0.65,5,0,0,0,0,1
1,1,1,13.6,1,132,0.09,48,0.55,0,0,0,0,0,1
0,0,4,3.4,1,195,0.06,75,0.58,0,0,1,0,0,1
2,0,0,1.6,1,60,0.20,53,1.33,0,0,1,0,0,0
0,0,0,10.2,0,108,0.22,13,0.31,3,0,0,0,0,1
1,0,1,11.75,1,87,0.00,9,0.28,5,0,0,0,0,1
0,0,1,4.8,1,76,0.32,5,1.08,1,0,0,0,0,0
1,0,0,1.6,1,31,0.00,29,0.94,4,1,0,1,0,1
1,1,1,10.2,1,108,0.33,41,0.86,0,0,0,0,0,1
2,0,0,17,1,171,0.14,19,0.37,0,0,1,0,0,1
1,1,0,11.75,0,144,0.17,21,0.58,5,1,0,1,0,0
2,0,0,1.6,1,60,0.20,17,0.43,0,1,0,0,0,1
1,0,1,11.75,1,72,0.00,8,0.18,3,0,0,1,0,1
0,0,0,1.15,1,20,0.00,13,0.65,0,1,1,0,0,0
1,0,0,8,1,48,0.25,20,0.63,12,1,0,1,0,1
2,0,0,8,1,40,0.60,36,1.80,2,0,0,0,0,1
0,0,0,9.4,1,72,0.50,18,0.73,10,0,1,1,0,0
0,0,0,9.4,1,96,0.50,37,1.53,25,1,0,0,0,1
0,0,0,10.2,0,132,0.27,20,0.76,0,1,0,1,0,1
0,0,4,2.35,1,89,0.00,25,0.28,2,0,0,1,0,1
0,0,0,6.8,0,120,0.10,64,0.80,6,0,0,0,0,0
0,0,0,2.35,1,79,0.30,24,1.24,1,0,0,1,0,1
1,0,1,1.6,1,53,0.00,19,0.36,0,0,0,0,0,0
0,0,0,6.4,1,57,0.21,5,0.53,0,0,0,0,0,0
0,1,0,7.05,0,99,0.48,25,1.15,4,0,0,0,0,0
1,0,0,1.15,0,13,0.00,13,1.00,0,0,0,1,1,0
1,1,0,11.75,1,72,0.50,12,1.32,7,0,0,0,0,1
0,0,3,11.75,1,99,0.12,18,0.27,23,0,0,1,0,1
0,0,1,1.6,0,56,0.43,17,0.61,1,0,0,0,0,1
0,0,0,4.7,0,50,0.24,16,0.48,9,0,0,0,0,1
0,0,1,13.6,1,132,0.09,60,0.68,0,0,0,0,0,1
0,0,0,1.6,0,48,0.50,37,1.54,0,0,0,1,0,0
